id,scenario,scale,latency_req,consistency_req,language,framework,communication,database_primary,database_secondary,cache,message_broker,search_engine,api_style,auth,observability_stack,container_runtime,ci_cd,architecture_pattern,resilience_pattern,concurrency_model,deployment_target,key_libraries,notes,tags
1,Ecommerce - Product Catalog Service,high,medium,strong,java,spring-boot-3,rest+grpc,postgresql,redis,caffeine+redis,kafka,elasticsearch,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+bulkhead+retry,virtual-threads,cloud-k8s,"spring-cloud-gateway;resilience4j;spring-data-jpa;flyway;testcontainers",Product CRUD + search + inventory management; strong consistency for stock deduction; ES for product search,ecommerce;product;catalog;inventory;search;crud
2,Ecommerce - Order Service,high,medium,strong,java,spring-boot-3,rest+kafka,postgresql,redis,caffeine+redis,kafka,,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+saga,circuit-breaker+bulkhead+retry+outbox,virtual-threads,cloud-k8s,"spring-cloud-stream;resilience4j;spring-data-jpa;flyway",Order lifecycle management; Saga for distributed transactions; Outbox guarantees message delivery,ecommerce;order;transaction;saga;payment
3,Ecommerce - Payment Service,high,low,strong,java,spring-boot-3,rest+kafka,postgresql,redis,redis,kafka,,rest-openapi,oauth2-oidc+mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+retry+idempotency,virtual-threads,cloud-k8s,"spring-cloud-stream;resilience4j;spring-vault",Payment idempotency is critical; mTLS for encrypted communication; Vault for secret management,ecommerce;payment;fintech;idempotent;security
4,Social Platform - Feed/Timeline Service,very-high,low,eventual,go,gin,rest+grpc+nats,postgresql,redis+cassandra,freecache+redis,nats,,rest-openapi,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-cqrs,circuit-breaker+bulkhead+singleflight,goroutine+errgroup,cloud-k8s,"pgx;nats.go;go-redis;singleflight",Push-pull hybrid feed; Cassandra for timeline storage; NATS for realtime push,social;feed;timeline;realtime;push;cqrs
5,Social Platform - Instant Messaging,very-high,ultra-low,eventual,go,stdlib-net-http,websocket+nats,postgresql,redis,freecache+redis,nats,,websocket,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,circuit-breaker+graceful-degradation,goroutine+channel,cloud-k8s,"gorilla/websocket;nats.go;go-redis;protobuf",WebSocket long-connection management; message persistence + offline messages; NATS broadcast for horizontal scaling,social;chat;im;websocket;realtime;messaging
6,Social Platform - User Relationship Service,high,medium,strong,go,gin,rest+grpc,postgresql,redis+neo4j,freecache+redis,kafka,,rest-openapi+grpc,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+retry,goroutine+errgroup,cloud-k8s,"pgx;neo4j-go-driver;go-redis",Follow/friend relationships via graph DB; PG as primary store; cache hot user relationships,social;user;relationship;graph;follow
7,Fintech - Market Data Feed,very-high,ultra-low,eventual,rust,axum,grpc+websocket,timescaledb,redis,moka,kafka,,grpc+websocket,mtls+jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,circuit-breaker+backpressure,tokio-async+broadcast-channel,cloud-k8s,"axum;tokio;tonic;sqlx;moka;rdkafka",Ultra-low-latency market data distribution; TimescaleDB for candlestick storage; Kafka for data aggregation; backpressure to prevent overload,fintech;trading;market-data;realtime;low-latency;ticker
8,Fintech - Order Matching Engine,very-high,ultra-low,strong,rust,custom-tcp,custom-binary-protocol,postgresql,redis,moka,,,,mtls,otel+prometheus+grafana,bare-metal,github-actions,monolith-event-sourcing,backpressure+graceful-degradation,tokio-async+lock-free-queue,bare-metal,"tokio;crossbeam;dashmap;sqlx",Core matching logic avoids GC; lock-free queue for order book; Event Sourcing for audit trail,fintech;trading;matching-engine;ultra-low-latency;lock-free;event-sourcing
9,Fintech - Risk Control Engine,very-high,low,strong,rust,axum,grpc,postgresql,redis+clickhouse,moka+redis,kafka,,grpc,mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline,circuit-breaker+bulkhead,tokio-async+rayon,cloud-k8s,"axum;tonic;sqlx;rdkafka;rayon",Realtime risk rules engine; Rayon for CPU-intensive rule evaluation; ClickHouse for risk analytics,fintech;risk;compliance;rules-engine;realtime;cpu-intensive
10,SaaS Platform - Multi-Tenant API,high,medium,strong,java,spring-boot-3,rest,postgresql,redis,caffeine+redis,kafka,elasticsearch,rest-openapi,oauth2-oidc+tenant-isolation,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+multi-tenant,circuit-breaker+rate-limit-per-tenant,virtual-threads,cloud-k8s,"spring-security;spring-data-jpa;flyway;hibernate-filters",Schema-per-tenant or row-level isolation; per-tenant rate limiting; data isolation is the core concern,saas;multi-tenant;api;platform;b2b;enterprise
11,SaaS Platform - Billing & Metering Service,high,medium,strong,java,spring-boot-3,rest+kafka,postgresql,redis,caffeine+redis,kafka,,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+event-driven,circuit-breaker+idempotency+outbox,virtual-threads,cloud-k8s,"spring-cloud-stream;spring-data-jpa;flyway",Usage metering + billing + invoicing; idempotency prevents double-charge; Outbox guarantees billing events,saas;billing;metering;subscription;invoice
12,IoT - Device Connectivity Gateway,very-high,low,eventual,rust,axum,mqtt+grpc,timescaledb,redis,moka,kafka,,mqtt+grpc,mtls+device-cert,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,backpressure+bulkhead+graceful-degradation,tokio-async,cloud-k8s+edge,"axum;rumqttd;tonic;sqlx;rdkafka;moka",Millions of device connections; MQTT protocol ingestion; backpressure against device flood; TimescaleDB for time-series,iot;gateway;device;mqtt;telemetry;edge;high-connection
13,IoT - Data Processing Pipeline,very-high,medium,eventual,go,stdlib-net-http,grpc+kafka,clickhouse,redis,freecache,kafka,,grpc,mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline,backpressure+retry,goroutine+worker-pool,cloud-k8s,"rdkafka;clickhouse-go;go-redis;errgroup",Kafka consume → clean → aggregate → ClickHouse; worker pool for concurrency control; batch write optimization,iot;data-pipeline;etl;stream-processing;batch;clickhouse
14,Content Platform - CMS Backend,medium,medium,strong,java,spring-boot-3,rest,postgresql,redis,caffeine+redis,,elasticsearch,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,monolith-modular,circuit-breaker+retry,virtual-threads,cloud-k8s,"spring-data-jpa;spring-security;flyway;elasticsearch-java",Content management + full-text search; modular monolith viable at medium scale; ES for content retrieval,cms;content;blog;media;search;monolith
15,Content Platform - Video Transcoding Service,high,high,eventual,go,stdlib-net-http,grpc+kafka,postgresql,redis+s3,freecache,kafka,,grpc,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline+worker,retry+dead-letter-queue,goroutine+worker-pool,cloud-k8s,"ffmpeg;minio-go;rdkafka;errgroup",Kafka-driven transcoding tasks; worker pool parallelizes FFmpeg; S3 for transcoded artifacts; DLQ for failed tasks,content;video;transcoding;media-processing;worker;s3
16,Gaming - Lobby & Matchmaking Service,very-high,low,eventual,go,gin,rest+websocket+nats,postgresql,redis,freecache+redis,nats,,rest+websocket,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,circuit-breaker+graceful-degradation,goroutine+channel,cloud-k8s,"gorilla/websocket;nats.go;go-redis;protobuf",Player lobby + room matchmaking; WebSocket for realtime; NATS for cross-node message broadcast,game;lobby;matchmaking;realtime;websocket
17,Gaming - Battle/Combat Server,very-high,ultra-low,eventual,rust,custom-udp,custom-binary-protocol,,,moka,nats,,udp+custom,token-based,prometheus+grafana,bare-metal+k8s,github-actions,microservice-stateful,graceful-degradation+backpressure,tokio-async+lock-free-queue,bare-metal,"tokio;crossbeam;moka;nats",Frame sync / state sync; UDP for low latency; lock-free concurrency; may require bare-metal deployment,game;battle;combat;udp;ultra-low-latency;stateful
18,AI/ML - Model Serving Gateway,high,medium,eventual,go,gin,rest+grpc,postgresql,redis,freecache+redis,kafka,,rest-openapi+grpc,jwt+api-key,otel+prometheus+grafana,kubernetes,github-actions,microservice-gateway+load-balancer,circuit-breaker+bulkhead+rate-limit+timeout,goroutine+errgroup,cloud-k8s-gpu,"gin;go-redis;grpc-go;errgroup",Model inference request routing + load balancing; per-model/tenant rate limiting; GPU node scheduling,ai;ml;inference;model-serving;gateway;gpu
19,AI/ML - Feature Engineering Service,high,low,eventual,rust,axum,grpc,postgresql,redis+clickhouse,moka+redis,kafka,,grpc,mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline,circuit-breaker+retry,tokio-async+rayon,cloud-k8s,"axum;tonic;sqlx;rdkafka;rayon;ndarray",Realtime feature computation; Rayon for parallel feature extraction; ClickHouse for feature history,ai;ml;feature-engineering;feature-store;realtime;cpu-intensive
20,Blockchain - Node RPC Gateway,very-high,low,eventual,rust,axum,rest+websocket+grpc,postgresql,redis,moka+redis,kafka,,rest+websocket+grpc,jwt+api-key,otel+prometheus+grafana,kubernetes,github-actions,microservice-gateway,circuit-breaker+rate-limit+bulkhead,tokio-async,cloud-k8s,"axum;tonic;sqlx;rdkafka;ethers-rs;web3",RPC request routing + caching; multi-chain node load balancing; WebSocket event subscriptions,blockchain;web3;rpc;node;gateway;multi-chain
21,Blockchain - On-Chain Data Indexer,very-high,medium,eventual,rust,axum,grpc+kafka,postgresql+clickhouse,redis,moka,kafka,elasticsearch,rest-openapi+grpc,api-key,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline+event-sourcing,retry+dead-letter-queue+checkpoint,tokio-async+rayon,cloud-k8s,"axum;sqlx;rdkafka;rayon;ethers-rs",Block parsing → event extraction → index storage; Event Sourcing for replayability; ClickHouse for on-chain analytics,blockchain;web3;indexer;analytics;event-sourcing;data-pipeline
22,Ecommerce - Recommendation Service,high,low,eventual,go,gin,rest+grpc,postgresql,redis+clickhouse,freecache+redis,kafka,,rest-openapi+grpc,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-cqrs,circuit-breaker+graceful-degradation+singleflight,goroutine+errgroup,cloud-k8s,"pgx;clickhouse-go;go-redis;singleflight;grpc-go",Two-stage recall + ranking; ClickHouse for offline features; Redis caches hot recommendations; fallback to popular list,ecommerce;recommendation;personalization;ml;ranking
23,Enterprise - Approval Workflow Engine,medium,high,strong,java,spring-boot-3,rest+kafka,postgresql,redis,caffeine+redis,kafka,,rest-openapi,oauth2-oidc+ldap,otel+prometheus+grafana,kubernetes,github-actions,monolith-modular+state-machine,retry+timeout,virtual-threads,cloud-k8s,"spring-statemachine;spring-security;spring-data-jpa;flyway",State machine driven approval flow; LDAP integration for enterprise SSO; modular monolith viable at medium scale,enterprise;workflow;approval;bpm;state-machine;internal
24,Enterprise - File Storage Service,medium,medium,strong,go,gin,rest+grpc,postgresql,redis+s3,freecache,,,rest-openapi+grpc,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,retry+timeout,goroutine+errgroup,cloud-k8s,"minio-go;pgx;go-redis;errgroup",S3-compatible object storage; chunked upload; metadata management; access control,enterprise;file-storage;document;s3;upload
25,Monitoring - Metrics Collection Pipeline,very-high,medium,eventual,go,stdlib-net-http,grpc+kafka,timescaledb,redis,freecache,kafka,,grpc,mtls,prometheus+grafana+alertmanager,kubernetes,github-actions,microservice-pipeline,backpressure+batch-write,goroutine+worker-pool,cloud-k8s,"prometheus/client_golang;rdkafka;pgx;timescaledb",High-throughput metrics ingestion; batch writes to TimescaleDB; Kafka for peak shaving,monitoring;metrics;telemetry;observability;time-series
26,Monitoring - Log Aggregation Service,very-high,medium,eventual,rust,axum,grpc+kafka,,redis,moka,kafka,elasticsearch,grpc,mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline,backpressure+batch-write+dead-letter-queue,tokio-async+rayon,cloud-k8s,"axum;tonic;rdkafka;elasticsearch-rs;rayon",High-throughput log parsing + indexing; Rayon for parallel log processing; ES for log retrieval,monitoring;logging;aggregation;elk;pipeline
27,Auth - Centralized Identity Service,high,low,strong,java,spring-boot-3,rest+grpc,postgresql,redis,caffeine+redis,kafka,,rest-openapi+grpc,oauth2-oidc+saml+ldap,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+rate-limit,virtual-threads,cloud-k8s,"spring-authorization-server;spring-security;spring-data-jpa",OAuth2/OIDC authorization server; multi-IdP integration; token management + revocation; session management,auth;identity;sso;oauth;oidc;security;iam
28,Infrastructure - Unified API Gateway,very-high,ultra-low,eventual,rust,axum,rest+grpc,postgresql,redis,moka+redis,,,rest-proxy+grpc-proxy,jwt+api-key+mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-gateway,circuit-breaker+rate-limit+bulkhead+backpressure,tokio-async,cloud-k8s,"axum;hyper;tonic;moka;rdkafka",Ultra-low-latency request proxying; dynamic routing; per-tenant rate limiting; protocol translation REST↔gRPC,gateway;api-gateway;proxy;rate-limit;routing
29,Search Platform - Full-Text Search Service,high,low,eventual,go,gin,rest+grpc,postgresql,redis,freecache+redis,kafka,elasticsearch,rest-openapi,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-cqrs,circuit-breaker+graceful-degradation+singleflight,goroutine+errgroup,cloud-k8s,"elastic/go-elasticsearch;pgx;go-redis;singleflight",ES as core search engine; PG as source of truth; Kafka syncs data to ES; cache fallback on degradation,search;elasticsearch;full-text;query;cqrs
30,Data Platform - ETL Orchestration,high,high,eventual,go,gin,rest+grpc+kafka,postgresql,redis,freecache,kafka,,rest-openapi+grpc,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-orchestrator,retry+dead-letter-queue+checkpoint,goroutine+worker-pool,cloud-k8s,"temporal.io;rdkafka;pgx;errgroup",Temporal for workflow orchestration; Kafka for data pipelines; DAG task scheduling; checkpoint for resume,data-platform;etl;scheduler;workflow;orchestration;temporal
31,Ecommerce - Flash Sale / Seckill Service,very-high,ultra-low,strong,go,gin,rest+redis-lua,postgresql,redis,,,,rest-openapi,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,rate-limit+singleflight+queue-based,goroutine+channel,cloud-k8s,"go-redis;singleflight;pgx;lua-scripts",Redis + Lua for atomic stock deduction; request queuing for peak shaving; async order creation; oversell prevention is core,ecommerce;flash-sale;seckill;high-concurrency;redis-lua;queue
32,Fintech - Clearing & Settlement Service,high,high,strong,java,spring-boot-3,rest+kafka,postgresql,redis,caffeine+redis,kafka,,rest-openapi,oauth2-oidc+mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+saga+event-sourcing,circuit-breaker+idempotency+outbox+compensation,virtual-threads,cloud-k8s,"spring-cloud-stream;spring-data-jpa;flyway;spring-vault",Batch clearing + reconciliation; Saga for distributed transactions; Event Sourcing for audit trail; strong idempotency,fintech;clearing;settlement;reconciliation;batch;audit
33,IoT - Edge Computing Gateway,high,ultra-low,eventual,rust,axum,mqtt+grpc,sqlite,redis,moka,,,mqtt+grpc,mtls+device-cert,prometheus+grafana,edge-device,github-actions,monolith-embedded,graceful-degradation+local-queue,tokio-async,edge,"axum;rumqttd;tonic;rusqlite;moka",Lightweight edge deployment; SQLite for local storage; offline cache + reconnect resume; resource-constrained optimization,iot;edge;embedded;gateway;offline;resource-constrained
34,Livestream - Danmaku/Barrage Service,very-high,ultra-low,eventual,go,stdlib-net-http,websocket+nats,postgresql,redis,freecache+redis,nats,,websocket,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,backpressure+graceful-degradation+sampling,goroutine+channel,cloud-k8s,"gorilla/websocket;nats.go;go-redis;protobuf",Millions of WebSocket connections; NATS for cross-node barrage broadcast; sampling degradation under overload; message compression,livestream;danmaku;barrage;websocket;realtime;broadcast
35,Infrastructure - Dynamic Config Service,medium,medium,strong,go,gin,rest+grpc+watch,postgresql,redis,freecache+redis,,,rest-openapi+grpc-stream,mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,retry+graceful-degradation,goroutine+channel,cloud-k8s,"pgx;go-redis;grpc-go;fsnotify",Config versioning; gRPC Stream pushes changes; canary release for config; rollback capability,config;configuration;dynamic-config;feature-flag;service-mesh
36,Ecommerce - User Account Service,high,medium,strong,java,spring-boot-3,rest+grpc,postgresql,redis,caffeine+redis,kafka,,rest-openapi+grpc,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+retry,virtual-threads,cloud-k8s,"spring-data-jpa;spring-security;spring-cloud-stream;flyway",User registration/login + profile management; OAuth2 integration; event-driven downstream notification,ecommerce;user;profile;account;registration
37,API Marketplace - Open Platform Gateway,very-high,low,eventual,go,gin,rest+grpc,postgresql,redis,freecache+redis,kafka,,rest-openapi,oauth2+api-key+hmac,otel+prometheus+grafana,kubernetes,github-actions,microservice-gateway,circuit-breaker+rate-limit+bulkhead+quota,goroutine+errgroup,cloud-k8s,"gin;go-redis;pgx;jwt-go;grpc-go",Developer API management; multi-dimension rate limiting (IP/AppKey/tenant); usage stats; auto SDK generation,api-marketplace;open-platform;developer;rate-limit;quota;sdk
38,Geo - Geofencing Service,high,low,eventual,rust,axum,rest+grpc,postgresql+postgis,redis,moka+redis,kafka,,rest-openapi+grpc,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+retry,tokio-async,cloud-k8s,"axum;tonic;sqlx;geo;moka;rdkafka",PostGIS spatial queries; realtime geofence detection; Kafka for location event streaming; high-performance geometry computation,geo;location;geofence;spatial;postgis;map
39,Notification - Multi-Channel Push Service,high,medium,eventual,go,gin,rest+kafka,postgresql,redis,freecache+redis,kafka,,rest-openapi,jwt+mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline+strategy,circuit-breaker+retry+dead-letter-queue,goroutine+worker-pool,cloud-k8s,"rdkafka;pgx;go-redis;errgroup;firebase-admin",Multi-channel (Push/SMS/Email/WebSocket); Kafka as message queue; strategy pattern for channel selection; DLQ for failed messages,notification;push;sms;email;messaging;multi-channel
40,Compliance - Audit Logging Service,high,high,strong,java,spring-boot-3,kafka,postgresql+clickhouse,redis,caffeine,kafka,,rest-openapi,oauth2-oidc+mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-sourcing,retry+dead-letter-queue+checkpoint,virtual-threads,cloud-k8s,"spring-cloud-stream;spring-data-jpa;clickhouse-jdbc;flyway",Full operation audit log; Event Sourcing with immutable append; ClickHouse for audit analytics; compliance query interface,audit;compliance;logging;event-sourcing;immutable;regulation
